Frame,Left_EAR,Right_EAR,Avg_EAR,Blinks,Blink_Duration,Yaw,Pitch,Roll,Horizontal_Gaze,Vertical_Gaze,iris_x_norm,iris_y_norm,eye_width,eye_height,Label,Blink_Rate,Avg_Blink_Duration,EAR_Mean,EAR_Variance,Longest_Eye_Closure
375,0.43239360436694785,0.3375679849257164,0.3849807946463321,5,0,-168.88051757130333,28.178287367273597,-164.28351976400933,1.0,0.22216083607114792,6.797622751691705,-0.25099057041916645,2.23607797749979,16.336744339790442,Right,0.3,0.012666666666666666,0.37772191669472543,0.0005797600219555201,1.8666666666666667
380,0.4440714094694805,0.3268021516847091,0.3854367805770948,5,0,-168.67998902684874,28.151713747359985,-165.15792020743157,1.0,0.22716096925808965,6.60017796003971,-0.26925950216856015,2.23607797749979,16.336744339790442,Right,0.3,0.0,0.38167798198638764,0.0001787703856822434,1.8666666666666667
386,0.40228416308527737,0.3178147084194461,0.3600494357523617,5,0,-168.30525991678374,28.542942080419227,-164.4008515262506,1.0,0.22307121362572113,6.535456840488744,-0.22226117355096056,2.23607797749979,16.00001,Right,0.3,0.0,0.38329602463855894,0.0001557393207120082,1.8666666666666667
391,0.35419693010446346,0.29615126354048027,0.3251740968224719,5,0,-169.13269137048385,27.824319395034955,-165.75974673061302,1.0,0.17734388275372343,9.328172019740418,-0.1788251432998652,1.4142235623730952,16.031229541881398,Right,0.3,0.0,0.3833786609612676,0.0001610182268354108,1.8666666666666667
397,0.2730392633131893,0.23046641274121282,0.25175283802720105,5,0.2,-167.96243979065144,28.475091826804082,-161.09205314026798,1.0,0.0560317514499334,7.414361596018066,-0.0713077998540605,2.23607797749979,16.013892865952418,Right,0.3,0.006999999999999999,0.37795694374541666,0.0008998358941207126,1.8666666666666667
403,0.2585930094729542,0.20668161284659622,0.2326373111597752,5,0.4,-168.92245937194866,27.905311311910165,-164.5432516486716,1.0,0.016624673123473918,7.401358355629061,-0.056611417316237145,2.23607797749979,16.013892865952418,Right,0.3,0.026000000000000002,0.36924393902568786,0.001981943530143976,1.8666666666666667
407,0.2626450858806559,0.19816868755364433,0.2304068867171501,5,0.5333333333333333,-169.29922108365278,28.161624328101325,-165.10198030349738,1.0,0.018732923130279945,7.352958628406133,-0.08467338411032335,2.23607797749979,15.347829244295099,Right,0.3,0.04533333333333333,0.36283022042635,0.002578820568329787,1.8666666666666667
413,0.3773546614066826,0.2953603005355038,0.3363574809710932,6,0,-169.22220543521732,27.873342533503067,-165.76134529065874,1.0,0.13115358086417106,6.150195518772595,-0.23931298288502123,2.8284371247461904,15.666676666666685,Right,0.4,0.07666666666666667,0.3557358230398645,0.0030164786419337695,1.8666666666666667
419,0.44484614492677166,0.32680214928273726,0.38582414710475443,6,0,-169.2299798241436,27.56778607047148,-165.28761721526337,1.0,0.23699014578158284,6.814341278692695,-0.2844569669347194,2.23607797749979,16.336744339790442,Right,0.4,0.07666666666666666,0.3550043677238581,0.0029767422590298858,1.8666666666666667
426,0.44484614520345905,0.3179947251658432,0.38142043518465113,6,0,-169.58689501444212,27.546313424282932,-166.40160835868215,1.0,0.253121042774308,6.7096202391415645,-0.27882132212524446,2.23607797749979,16.336744339790442,Right,0.4,0.07666666666666666,0.35486968235560135,0.0029643352810322333,1.8666666666666667
